=== Page 4 ===
款,項,"金
額",,,
nan,nan,nan,5.0％以内,借入先の融資条件,,,
nan,nan,nan,（ただし、利率見直し,に従う。ただし、,,,
nan,nan,証書借 入,方式で借り入れる資金,市財政の都合によ,,,
財 産 管 理 事 業,"121,500","又
は","について、利率の見直
しを行った後において","り据置期間中でも
繰上償還をなし又",,,
nan,nan,nan,は、当該見直し後の利,は償還期限を短縮,,,
nan,nan,証券発 行,率）,し若しくは低利に,,,
nan,nan,nan,nan,借換えすることが,,,
nan,nan,nan,nan,できる。,,,
庁 舎 改 修 事 業,"98,200","同
上","同
上","同
上",,,
"ま ち づ く り セ ン タ ー
改
修
事
業","170,800","同
上","同
上","同
上",,,
"ま ち づ く り セ ン タ ー
用 地 取 得 事 業","29,000","同
上","同
上","同
上",,,
"ワ ン ス ト ッ プ 総 合 窓 口
シ ス テ ム 更 新 事 業","60,200","同
上","同
上","同
上",,,
放課後児童クラブ整備事業,"14,000","同
上","同
上","同
上",,,
保 育 園 施 設 等 改 修 事 業,"23,200","同
上","同
上","同
上",,,
"私 立 保 育 園 等
整 備 費 補 助 事 業","114,900","同
上","同
上","同
上",,,
ふ じ や ま 学 園 改 修 事 業,"40,400","同
上","同
上","同
上",,,
"こ ど も 発 達 セ ン タ ー
改
修
事
業","25,400","同
上","同
上","同
上",,,
農 道 等 整 備 事 業,"106,300","同
上","同
上","同
上",,,
林 道 等 整 備 事 業,"52,600","同
上","同
上","同
上",,,
産業交流展示場改修事業,"146,400","同
上","同
上","同
上",,,
観 光 施 設 整 備 事 業,"74,600","同
上","同
上","同
上",,,
道 路 河 川 管 理 事 業,"21,800","同
上","同
上","同
上",,,
急 傾 斜 地 整 備 事 業,"15,000","同
上","同
上","同
上",,,
道 路 整 備 事 業,"1,428,600","同
上","同
上","同
上",,,
河 川 整 備 事 業,"393,000","同
上","同
上","同
上",,,
港 湾 整 備 事 業,"110,600","同
上","同
上","同
上",,,
都 市 計 画 事 業,"1,207,000","同
上","同
上","同
上",,,
公 園 整 備 事 業,"382,000","同
上","同
上","同
上",,,
市 営 住 宅 整 備 事 業,"478,300","同
上","同
上","同
上",,,

=== Page 13 ===
起 債 の 目 的,限 度 額,起債の方法,利 率,償 還 の 方 法,,,
消 防 施 設 整 備 事 業,"1,359,000","証書借 入
又
は
証券発 行","5.0％以内
（ただし、利率見直し
方式で借り入れる資金
について、利率の見直
しを行った後において
は、当該見直し後の利
率）","借入先の融資条件
に従う。ただし、
市財政の都合によ
り据置期間中でも
繰上償還をなし又
は償還期限を短縮
し若しくは低利に
借換えすることが
できる。",,,
防 災 基 盤 整 備 事 業,"46,200","同
上","同
上","同
上",,,
小学校空調設備整備事業,"21,700","同
上","同
上","同
上",,,
"小 学 校 屋 内 運 動 場
リ ニ ュ ー ア ル 事 業","172,200","同
上","同
上","同
上",,,
小 学 校 校 舎 等 改 修 事 業,"236,200","同
上","同
上","同
上",,,
田子浦小学校校舎改築事業,"29,500","同
上","同
上","同
上",,,
中学校空調設備整備事業,"96,800","同
上","同
上","同
上",,,
中 学 校 校 舎 等 改 修 事 業,"204,900","同
上","同
上","同
上",,,
"吉 原 第 一 中 学 校 武 道 場
整
備
事
業","98,300","同
上","同
上","同
上",,,
文 化 財 整 備 事 業,"30,700","同
上","同
上","同
上",,,
中 央 図 書 館 改 修 事 業,"44,300","同
上","同
上","同
上",,,
富 士 体 育 館 改 修 事 業,"15,600","同
上","同
上","同
上",,,
富 士 川 体 育 館 改 修 事 業,"14,100","同
上","同
上","同
上",,,
総合運動公園施設改修事業,"12,200","同
上","同
上","同
上",,,
砂山公園プール改修事業,"68,300","同
上","同
上","同
上",,,
屋 外 運 動 施 設 改 修 事 業,"23,000","同
上","同
上","同
上",,,
林 業 施 設 災 害 復 旧 事 業,"15,800","同
上","同
上","同
上",,,
計,"7,602,600",nan,nan,nan,,,

=== Page 15 ===
"議決年月 日
款 別",当 初 予 算,当 初 予 算,第 １ 回,第 ２ 回,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"議決年月 日
款 別",令和８． ３,令和８． ３,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
