ページ,目,本年度予算額,前年度予算額,比較,区分,金額,説明
17,12 交通安全対策特別交付金,"40,000","40,000",0,,,
17,13 分担金及び負担金,"1,673,555","898,210","775,345",,,
17,14 使用料及び手数料,"1,274,952","1,305,446","△30,494",,,
17,15 国庫支出金,"19,346,840","18,486,567","860,273",,,
17,16 県支出金,"8,912,921","8,760,799","152,122",,,
17,17 財産収入,"375,139","404,061","△28,922",,,
17,18 寄附金,"6,019,301","5,015,125","1,004,176",,,
17,19 繰入金,"2,140,017","1,666,920","473,097",,,
17,20 繰越金,"1,000,000","1,000,000",0,,,
17,21 諸収入,"1,973,375","3,283,372","△1,309,997",,,
17,22 市債,"7,602,600","5,353,100","2,249,500",,,
17,歳 入 合 計,"110,800,000","104,500,000","6,300,000",,,
18,款,本年度予算額,前年度予算額,"比
較","本 年
度
予
算 額 の
財
源 内 訳","本 年
度
予
算 額 の
財
源 内 訳","本 年
度
予
算 額 の
財
源 内 訳"
18,,千円,千円,千円,"特
定
財
源","特
定
財
源","特
定
財
源"
18,1 議会費,"488,451","499,446","△10,995",国県支出金,地 方 債,そ の 他
18,2 総務費,"9,616,154","9,851,001","△234,847",千円,千円,千円
18,3 民生費,"43,341,693","41,840,448","1,501,245",,,"1,013"
18,3 民生費,"43,341,693","41,840,448","1,501,245","708,832","479,700","617,915"
18,4 衛生費,"10,396,106","10,223,982","172,124","23,062,901","217,900","947,205"
18,5 労働費,"159,963","256,499","△96,536","159,268",,"1,368,836"
18,6 農林水産業費,"1,010,897","982,157","28,740","6,546",,"1,370"
18,7 商工費,"5,525,329","4,156,662","1,368,667","58,854","158,900","101,934"
18,8 土木費,"13,904,324","12,011,843","1,892,481","242,853","221,000","2,996,926"
18,9 消防費,"6,082,682","3,947,692","2,134,990","2,131,748","4,036,300","355,956"
18,10 教育費,"12,402,939","13,345,799","△942,860","151,650","1,405,200","882,019"
18,11 災害復旧費,"164,720","129,300","35,420","1,613,506","1,067,800","1,042,464"
18,11 災害復旧費,"164,720","129,300","35,420","123,597","15,800",
18,12 公債費,"7,606,642","7,155,071","451,571",,,"170,775"
18,13 諸支出金,100,100,0,,,
18,14 予備費,"100,000","100,000",0,,,
18,歳 出 合 計,"110,800,000","104,500,000","6,300,000","28,259,755","7,602,600","8,486,413"
20,目,本年度予算額,前年度予算額,"比
較",節,節,"説
明"
20,目,本年度予算額,前年度予算額,"比
較","区
分","金
額","説
明"
20,目,本年度予算額,前年度予算額,"比
較",1 現年課税分,"千円
16,084,000","千円
現年課税分 16,084,000"
20,目,本年度予算額,前年度予算額,"比
較",,,"均等割 399,000"
20,1 個人,"千円
16,203,500","千円
15,840,700","千円
362,800",,,"調定見込額 404,000×98.9％"
20,1 個人,"千円
16,203,500","千円
15,840,700","千円
362,800",,,"所得割 15,685,000"
20,1 個人,"千円
16,203,500","千円
15,840,700","千円
362,800",,,"調定見込額 15,860,000×98.9％"
20,1 個人,"千円
16,203,500","千円
15,840,700","千円
362,800",2 滞納繰越分,"119,500","滞納繰越分 119,500"
20,2 法人,"2,515,500","2,580,200","△64,700",,,"調定見込額 378,200×31.6％"
20,2 法人,"2,515,500","2,580,200","△64,700",1 現年課税分,"2,513,000","現年課税分 2,513,000"
20,2 法人,"2,515,500","2,580,200","△64,700",,,"均等割 785,000"
20,2 法人,"2,515,500","2,580,200","△64,700",,,"調定見込額 787,000×99.8％"
20,2 法人,"2,515,500","2,580,200","△64,700",,,"法人税割 1,728,000"
20,計,"18,719,000","18,420,900","298,100",,,"調定見込額 1,732,000×99.8％"
20,計,"18,719,000","18,420,900","298,100",2 滞納繰越分,"2,500","滞納繰越分 2,500"
20,計,"18,719,000","18,420,900","298,100",,,"調定見込額 17,800×14.6％"
20,,,,,1 現年課税分,"23,743,000","現年課税分 23,743,000"
