款,項,目,節,説明,R7,R8
,,,,児童入所施設措置費負担金（調定見込額 母子生活支援施設13741*1/4(3435)+助産施設2936*1/4(734)+家庭支援事業1024*1/4(256)）,,4425
,,,,未熟児養育医療費負担金（調定見込額 8000*1/4）,,2000
,,,,未熟児養育医療費負担金過年度分,,1
,,,,施設型・地域型保育給付費負担金（調定見込額 施設型給付1号分833070*0.74*1/4(154118)+2号分2026848*1/4(506712)+3号分2097405*0.2(419481)+地域型保育給付家庭的保育57409*0.2(11481)+小規模保育公立分94280*0.2(18856)+私立分680100*0.2(136020)+事業所内保育92180*0.2(18436)）,,1265104
,,,,乳児等のための支援給付費負担金（調定見込額 公立分4000*1/8(500)+私立分1850*1/8(231)+加算分471*1/8(58)）,,789
,,,,子育てのための施設等利用費負担金（調定見込額 一時預かり事業(幼稚園型)公立分2808*1/4(702)+私立分25758*1/4(6439)+預かり保育事業私立分324*1/4(81)+認可外保育施設等3852*1/4(963)）,,8185
,,,児童手当負担金,,,464750
,,,,"児童手当負担金（調定見込額 0~3歳未満非被用者94860*1/15(6324)+小学校修了前第1,2子1650000*1/9(183333)+小学校修了前第3子793080*1/9(88120)+中学生862320*1/9(95813)+18歳年度末まで820440*1/9(91160)）",,464750
,,,障害者福祉費負担金,,,2417563
,,,,障害者自立支援給付費負担金（調定見込額 介護給付費負担金3122748*1/4(780687)+訓練等給付費負担金3318168*1/4(829542)+緊急対応措置費負担金1184*1/4(296)+補装具給付費負担金48000*1/4(12000)）,,1622525
,,,,障害児通所給付費負担金（調定見込額 2501752*1/4）,,625438
,,,,障害者医療費負担金（調定見込額 療養介護医療23766*1/4(5941)+更生医療185000*1/4(46250)+育成医療400*1/4(100)）,,52291
,,,,ふじやま学園措置費負担金,,117308
,,,,障害児通所給付費負担金過年度分,,1
,,,生活保護費負担金,,,84800
,,,,居住地不明者生活保護費負担金（調定見込額 339200*1/4）,,84800
,,教育費負担金,,,130814,128954
,,,幼稚園費負担金,,,128954
,,,,施設型・地域型保育給付費負担金（調定見込額 施設型給付1号分694140*0.74*1/4）,,128415
,,,,子育てのための施設等利用費負担金（調定見込額 私立幼稚園2159*1/4）,,539
,県補助金,,,,2833831,2797812
